106	2	1773
106	3	2333
106	0	1911
1773	6	2333
2333	5	2466
1911	7	2466
2466	5	2415
1363	2	1890
1363	0	1911
1911	7	2466
1145	2	1570
1145	3	2099
1145	0	1911
1570	6	2099
2099	5	2466
1911	7	2466
2466	5	2408
1178	2	1750
1178	3	1974
1178	0	1911
1750	6	1974
1974	5	2466
1911	7	2466
1208	2	1852
1208	3	2291
1208	0	1911
1852	6	2291
2291	5	2465
1911	7	2465
1209	2	1881
1209	3	2268
1209	0	1911
1881	6	2268
2268	5	2466
1911	7	2466
2466	5	2437
1212	2	1675
1212	3	2112
1212	0	1911
1675	6	2112
2112	5	2465
1911	7	2465
2465	5	2408
1214	2	1626
1214	3	2076
1214	0	1911
1626	6	2076
2076	5	2465
1911	7	2465
2465	5	2408
1216	2	1893
1216	3	1951
1216	0	1911
1893	6	1951
1951	5	2465
1911	7	2465
1225	2	1673
1225	3	2047
1225	0	1911
1673	6	2047
2047	5	2465
1911	7	2465
2465	5	2383
1230	2	1518
1230	3	2109
1230	0	1911
1518	6	2109
2109	5	2466
1911	7	2466
2466	5	2439
1261	3	2080
1261	0	1911
2080	5	2466
1911	7	2466
1404	2	1517
1404	3	2080
1404	0	1911
1517	6	2080
2080	5	2466
1911	7	2466
616	2	1565
616	3	1961
616	0	1911
1565	6	1961
1961	5	2466
1911	7	2466
2466	5	2421
587	2	1648
587	3	2145
587	0	1911
1648	6	2145
2145	5	2466
1911	7	2466
2466	5	2393
624	2	1565
624	3	1961
624	0	1911
1565	6	1961
1961	5	2466
1911	7	2466
2466	5	2393
611	2	1565
611	3	1961
611	0	1911
1565	6	1961
1961	5	2466
1911	7	2466
2466	5	2431
601	2	1565
601	3	1961
601	0	1911
1565	6	1961
1961	5	2466
1911	7	2466
2466	5	2421
597	3	2333
597	0	1911
2333	5	2467
1911	7	2467
2467	5	2411
1424	2	1762
1424	3	2346
1424	0	1911
1762	6	2346
2346	5	2466
1911	7	2466
2466	5	2411
609	2	1673
609	3	2045
609	0	1911
1673	6	2045
2045	5	2468
1911	7	2468
2468	5	2436
582	2	1576
582	3	2167
582	0	1911
1576	6	2167
2167	5	2466
1911	7	2466
2466	5	2417
714	2	1713
714	3	2045
714	0	1911
1713	6	2045
2045	5	2468
1911	7	2468
2468	5	2442
715	2	1615
715	3	2291
715	0	1911
1615	6	2291
2291	5	2466
1911	7	2466
2466	5	2431
610	2	1517
610	3	2080
610	0	1911
1517	6	2080
2080	5	2466
1911	7	2466
2466	5	2417
716	2	1517
716	3	2080
716	0	1911
1517	6	2080
2080	5	2466
1911	7	2466
2466	5	2431
617	3	2048
617	0	1911
2048	5	2465
1911	7	2465
2465	5	2417
614	2	1517
614	3	1977
614	0	1911
1517	6	1977
1977	5	2466
1911	7	2466
2466	5	2417
492	2	1723
492	3	2193
492	0	1911
1723	6	2193
2193	5	2468
1911	7	2468
539	2	1627
539	3	2141
539	0	1911
1627	6	2141
2141	5	2466
1911	7	2466
619	2	1576
619	3	2141
619	0	1911
1576	6	2141
2141	5	2466
1911	7	2466
654	2	1591
654	3	2084
654	0	1911
1591	6	2084
2084	5	2466
1911	7	2466
928	2	1515
928	3	2333
928	0	1911
1515	6	2333
2333	5	2467
1911	7	2467
1151	2	1852
1151	3	2291
1151	0	1911
1852	6	2291
2291	5	2465
1911	7	2465
1202	2	1516
1202	3	1982
1202	0	1911
1516	6	1982
1982	5	2465
1911	7	2465
1417	2	1633
1417	3	2056
1417	0	1911
1633	6	2056
2056	5	2466
1911	7	2466
2466	5	2461
1431	2	1702
1431	3	2088
1431	0	1911
1702	6	2088
2088	5	2466
1911	7	2466
1434	2	1702
1434	3	2089
1434	0	1911
1702	6	2089
2089	5	2466
1911	7	2466
1437	2	1505
1437	3	2201
1437	0	1911
1505	6	2201
2201	5	2464
1911	7	2464
1446	2	1798
1446	3	2109
1446	0	1911
1798	6	2109
2109	5	2466
1911	7	2466
1447	2	1845
1447	3	2045
1447	0	1911
1845	6	2045
2045	5	2466
1911	7	2466
1462	2	1803
1462	3	2185
1462	0	1911
1803	6	2185
2185	5	2466
1911	7	2466
1496	2	1876
1496	3	2154
1496	0	1911
1876	6	2154
2154	5	2466
1911	7	2466
2466	5	2434
187	2	1884
187	3	2013
187	0	1911
1884	6	2013
2013	5	2465
1911	7	2465
317	2	1516
317	3	1982
317	0	1911
1516	6	1982
1982	5	2466
1911	7	2466
422	2	1516
422	3	1976
422	0	1911
1516	6	1976
1976	5	2466
1911	7	2466
2466	5	2463
381	2	1532
381	3	2057
381	0	1911
1532	6	2057
2057	5	2465
1911	7	2465
424	2	1699
424	3	2311
424	0	1911
1699	6	2311
2311	5	2464
1911	7	2464
508	2	1525
508	3	2291
508	0	1911
1525	6	2291
2291	5	2465
1911	7	2465
736	2	1534
736	3	1950
736	0	1911
1534	6	1950
1950	5	2465
1911	7	2465
981	2	1576
981	3	1920
981	0	1911
1576	6	1920
1920	5	2466
1911	7	2466
983	2	1576
983	3	2141
983	0	1911
1576	6	2141
2141	5	2466
1911	7	2466
987	2	1849
987	3	2350
987	0	1911
1849	6	2350
2350	5	2466
1911	7	2466
990	2	1536
990	3	2299
990	0	1911
1536	6	2299
2299	5	2465
1911	7	2465
991	2	1665
991	3	2143
991	0	1911
1665	6	2143
2143	5	2466
1911	7	2466
992	2	1744
992	0	1911
1911	7	2466
993	2	1795
993	3	2162
993	0	1911
1795	6	2162
2162	5	2466
1911	7	2466
994	2	1836
994	3	2085
994	0	1911
1836	6	2085
2085	5	2466
1911	7	2466
996	0	1911
1911	7	2466
998	2	1836
998	3	2292
998	0	1911
1836	6	2292
2292	5	2465
1911	7	2465
1000	2	1518
1000	3	2140
1000	0	1911
1518	6	2140
2140	5	2466
1911	7	2466
1002	2	1576
1002	3	2141
1002	0	1911
1576	6	2141
2141	5	2466
1911	7	2466
1004	2	1673
1004	3	2141
1004	0	1911
1673	6	2141
2141	5	2466
1911	7	2466
1009	3	2333
1009	0	1911
2333	5	2466
1911	7	2466
1010	2	1577
1010	0	1911
1911	7	2467
1018	2	1617
1018	3	2343
1018	0	1911
1617	6	2343
2343	5	2467
1911	7	2467
1020	2	1576
1020	3	2141
1020	0	1911
1576	6	2141
2141	5	2466
1911	7	2466
1021	2	1822
1021	3	2245
1021	0	1911
1822	6	2245
2245	5	2466
1911	7	2466
1022	2	1880
1022	3	1944
1022	0	1911
1880	6	1944
1944	5	2465
1911	7	2465
1023	2	1852
1023	3	2276
1023	0	1911
1852	6	2276
2276	5	2465
1911	7	2465
414	2	1842
414	3	2035
414	0	1911
1842	6	2035
2035	5	2464
1911	7	2464
2464	5	2402
390	2	1534
390	3	1950
390	0	1911
1534	6	1950
1950	5	2466
1911	7	2466
1078	3	2337
1078	0	1911
2337	5	2467
1911	7	2467
1005	2	1673
1005	3	2045
1005	0	1911
1673	6	2045
2045	5	2466
1911	7	2466
1331	2	1647
1331	0	1900
1900	7	2466
2466	5	2458
1468	2	1615
1468	3	1982
1468	0	1911
1615	6	1982
1982	5	2465
1911	7	2465
1373	2	1505
1373	3	1916
1373	0	1911
1505	6	1916
1916	5	2464
1911	7	2464
1383	2	1813
1383	3	2141
1383	0	1911
1813	6	2141
2141	5	2466
1911	7	2466
2466	5	2400
1388	2	1534
1388	3	2013
1388	0	1911
1534	6	2013
2013	5	2465
1911	7	2465
2465	5	2431
1398	2	1615
1398	3	2077
1398	0	1911
1615	6	2077
2077	5	2465
1911	7	2465
2465	5	2448
164	2	1852
164	3	2291
164	0	1911
1852	6	2291
2291	5	2465
1911	7	2465
1469	2	1511
1469	3	2029
1469	0	1911
1511	6	2029
2029	5	2466
1911	7	2466
68	2	1856
68	3	2333
68	0	1911
1856	6	2333
2333	5	2467
1911	7	2467
93	2	1739
93	3	1918
93	0	1911
1739	6	1918
1918	5	2466
1911	7	2466
28	3	2094
28	0	1911
2094	5	2467
1911	7	2467
81	2	1534
81	3	1948
81	0	1911
1534	6	1948
1948	5	2465
1911	7	2465
2465	5	2397
566	2	1827
566	3	2333
566	0	1911
1827	6	2333
2333	5	2466
1911	7	2466
1400	2	1566
1400	3	1951
1400	0	1911
1566	6	1951
1951	5	2465
1911	7	2465
2465	5	2404
400	3	2056
400	0	1911
2056	5	2465
1911	7	2465
2465	5	2403
446	2	1576
446	0	1911
1911	7	2466
277	2	1852
277	0	1911
1911	7	2465
205	0	1911
1911	7	2466
112	2	1585
112	3	2278
112	0	1911
1585	6	2278
2278	5	2466
1911	7	2466
1350	2	1500
1350	3	1993
1350	0	1911
1500	6	1993
1993	5	2466
1911	7	2466
1338	2	1505
1338	3	1944
1338	0	1911
1505	6	1944
1944	5	2464
1911	7	2464
2464	5	2383
34	2	1571
34	3	2287
34	0	1911
1571	6	2287
2287	5	2466
1911	7	2466
2466	5	2431
1346	2	1854
1346	0	1911
1911	7	2466
475	2	1505
475	3	1944
475	0	1911
1505	6	1944
1944	5	2464
1911	7	2464
495	2	1547
495	0	1911
1911	7	2466
503	2	1619
503	0	1911
1911	7	2466
